Iteration	Likelihood	Prior	p	r
24900	-5.49988	1.159106	0.1143479	0.1143479
25000	-1.699542	-1.056038	0.3358623	0.3358623
25100	-3.084694	0.3921861	0.1910399	0.1910399
25200	-2.007223	-0.3864885	0.2689074	0.2689074
25300	-4.000057	0.7588097	0.1543775	0.1543775
25400	-2.5519	0.09015844	0.2212427	0.2212427
25500	-2.154626	-0.2270391	0.2529624	0.2529624
25600	-1.945181	-0.4663066	0.2768892	0.2768892
25700	-1.950822	-0.4586285	0.2761214	0.2761214
25800	-2.606293	0.1258439	0.2176741	0.2176741
25900	-2.135385	-0.2460065	0.2548592	0.2548592
26000	-1.885005	-1.878624	0.4181209	0.4181209
26100	-1.816326	-0.676812	0.2979397	0.2979397
26200	-1.707114	-1.005556	0.3308141	0.3308141
26300	-1.700468	-1.048914	0.3351499	0.3351499
26400	-1.711918	-1.41944	0.3722025	0.3722025
26500	-2.860197	0.2763941	0.2026191	0.2026191
26600	-2.759928	0.2197842	0.2082801	0.2082801
26700	-2.331497	-0.07105725	0.2373642	0.2373642
26800	-2.002317	-0.3924618	0.2695047	0.2695047
26900	-2.045799	-2.123855	0.442644	0.442644
27000	-2.607364	-2.699673	0.5002258	0.5002258
27100	-1.695448	-1.302454	0.360504	0.360504
27200	-2.533282	0.0776156	0.2224969	0.2224969
27300	-2.478554	0.03970164	0.2262883	0.2262883
27400	-1.711093	-0.9838646	0.328645	0.328645
27500	-2.25601	-0.1340186	0.2436604	0.2436604
27600	-2.106236	-0.2756698	0.2578255	0.2578255
27700	-2.651555	0.1545177	0.2148067	0.2148067
27800	-1.751509	-0.8319105	0.3134496	0.3134496
27900	-1.758012	-0.8132737	0.3115859	0.3115859
28000	-2.207185	-0.1774664	0.2480051	0.2480051
28100	-2.01162	-0.3811796	0.2683765	0.2683765
28200	-3.745644	0.6699528	0.1632632	0.1632632
28300	-1.766856	-0.7893762	0.3091961	0.3091961
28400	-2.688517	0.1772932	0.2125292	0.2125292
28500	-1.885319	-0.5543502	0.2856935	0.2856935
28600	-6.04897	1.269396	0.1033189	0.1033189
28700	-1.741853	-1.543441	0.3846026	0.3846026
28800	-1.917231	-0.5058105	0.2808396	0.2808396
28900	-2.072142	-0.3119323	0.2614517	0.2614517
29000	-1.73844	-0.872805	0.317539	0.317539
29100	-1.96534	-0.4392859	0.2741871	0.2741871
29200	-4.804205	0.9949815	0.1307604	0.1307604
29300	-1.692005	-1.141865	0.3444451	0.3444451
29400	-4.262159	0.8424923	0.1460093	0.1460093
29500	-3.970486	0.7488917	0.1553693	0.1553693
29600	-1.952722	-0.4560642	0.2758649	0.2758649
29700	-2.810794	0.2489235	0.2053662	0.2053662
29800	-3.923961	0.733078	0.1569507	0.1569507
29900	-2.844071	0.2675142	0.2035071	0.2035071
30000	-2.496964	0.05263521	0.224995	0.224995
30100	-3.517736	0.5828067	0.1719778	0.1719778
30200	-1.736554	-0.8791653	0.318175	0.318175
30300	-1.6907	-1.18592	0.3488505	0.3488505
30400	-1.798461	-0.7141679	0.3016753	0.3016753
30500	-1.805737	-0.6985826	0.3001168	0.3001168
30600	-1.738187	-0.8736513	0.3176236	0.3176236
30700	-3.145739	0.421417	0.1881168	0.1881168
30800	-1.692557	-1.263609	0.3566194	0.3566194
30900	-1.690901	-1.173162	0.3475748	0.3475748
31000	-3.175796	0.4354939	0.1867091	0.1867091
31100	-2.408309	-2.523813	0.4826398	0.4826398
31200	-3.127513	0.4127814	0.1889804	0.1889804
31300	-1.700817	-1.046321	0.3348906	0.3348906
31400	-1.769392	-0.7827975	0.3085383	0.3085383
31500	-1.696444	-1.083118	0.3385703	0.3385703
31600	-1.696165	-1.085883	0.3388468	0.3388468
31700	-2.09485	-2.1871	0.4489686	0.4489686
31800	-3.47127	0.5640435	0.1738542	0.1738542
31900	-2.821835	0.2551322	0.2047453	0.2047453
32000	-1.696525	-1.313675	0.3616261	0.3616261
32100	-2.358487	-0.0496402	0.2352225	0.2352225
32200	-1.699114	-1.337064	0.3639649	0.3639649
32300	-2.885752	0.2902999	0.2012285	0.2012285
32400	-1.868823	-0.5811564	0.2883741	0.2883741
32500	-2.8091	0.2479672	0.2054618	0.2054618
32600	-1.857958	-1.828568	0.4131153	0.4131153
32700	-1.843396	-0.6252588	0.2927844	0.2927844
32800	-3.11787	0.4081811	0.1894404	0.1894404
32900	-2.414743	-0.00664252	0.2309228	0.2309228
33000	-2.091834	-0.2907717	0.2593357	0.2593357
33100	-1.764133	-0.7965729	0.3099158	0.3099158
33200	-1.706518	-1.009023	0.3311608	0.3311608
33300	-2.372795	-0.03849942	0.2341085	0.2341085
33400	-1.712061	-1.420188	0.3722773	0.3722773
33500	-5.178615	1.08712	0.1215466	0.1215466
33600	-1.690731	-1.183171	0.3485756	0.3485756
33700	-1.784486	-0.7457509	0.3048336	0.3048336
33800	-2.473372	0.03602779	0.2266557	0.2266557
33900	-1.850162	-1.81342	0.4116005	0.4116005
34000	-1.690897	-1.173317	0.3475902	0.3475902
34100	-2.514339	-2.620171	0.4922756	0.4922756
34200	-2.816945	0.2523872	0.2050198	0.2050198
34300	-1.704728	-1.019867	0.3322452	0.3322452
34400	-2.978561	0.3391717	0.1963413	0.1963413
34500	-3.086411	0.3930209	0.1909564	0.1909564
34600	-2.256901	-0.1332471	0.2435832	0.2435832
34700	-3.385576	-3.245308	0.5547893	0.5547893
34800	-2.866112	-2.901315	0.52039	0.52039
34900	-1.690643	-1.195746	0.3498331	0.3498331
35000	-2.865103	0.2790795	0.2023506	0.2023506
35100	-1.692176	-1.256659	0.3559244	0.3559244
35200	-2.270165	-0.1218441	0.2424429	0.2424429
35300	-2.026999	-0.3629268	0.2665512	0.2665512
35400	-1.740853	-0.8648527	0.3167438	0.3167438
35500	-1.834695	-0.6412525	0.2943838	0.2943838
35600	-2.101473	-0.2806301	0.2583215	0.2583215
35700	-2.030429	-0.3589196	0.2661505	0.2661505
35800	-1.693685	-1.114513	0.3417098	0.3417098
35900	-1.844456	-0.6233455	0.2925931	0.2925931
36000	-2.11755	-0.2640172	0.2566602	0.2566602
36100	-3.460549	0.559663	0.1742922	0.1742922
36200	-1.737427	-0.876205	0.317879	0.317879
36300	-5.006022	1.04583	0.1256755	0.1256755
36400	-1.808147	-1.72471	0.4027295	0.4027295
36500	-1.915219	-1.930683	0.4233268	0.4233268
36600	-3.447951	0.5544901	0.1748095	0.1748095
36700	-1.752748	-0.828282	0.3130867	0.3130867
36800	-3.085883	0.3927644	0.1909821	0.1909821
36900	-5.525287	1.164548	0.1138037	0.1138037
37000	-2.619247	0.1341421	0.2168443	0.2168443
37100	-1.783881	-0.7471721	0.3049757	0.3049757
37200	-2.66447	-2.746459	0.5049044	0.5049044
37300	-2.423502	-0.0001351694	0.230272	0.230272
37400	-2.160109	-0.221719	0.2524304	0.2524304
37500	-1.844263	-0.6236924	0.2926277	0.2926277
37600	-1.76974	-0.7819035	0.3084489	0.3084489
37700	-2.751051	0.2146053	0.208798	0.208798
37800	-1.738303	-0.8732636	0.3175849	0.3175849
37900	-2.057336	-0.3282594	0.2630844	0.2630844
38000	-1.745403	-1.555382	0.3857967	0.3857967
38100	-3.521986	0.5845051	0.171808	0.171808
38200	-2.704284	0.1868421	0.2115743	0.2115743
38300	-2.393424	-0.02268729	0.2325272	0.2325272
38400	-1.892576	-0.5429514	0.2845536	0.2845536
38500	-3.185935	-3.120826	0.5423411	0.5423411
38600	-4.727882	0.974978	0.1327607	0.1327607
38700	-1.692329	-1.135627	0.3438212	0.3438212
38800	-1.753341	-1.580788	0.3883373	0.3883373
38900	-2.758178	0.2187652	0.208382	0.208382
39000	-2.046031	-0.3409803	0.2643565	0.2643565
39100	-1.997175	-0.3987797	0.2701365	0.2701365
39200	-1.794632	-0.7225946	0.302518	0.302518
39300	-2.873952	0.2839036	0.2018681	0.2018681
39400	-1.9719	-0.4307318	0.2733317	0.2733317
39500	-2.601536	0.1227781	0.2179807	0.2179807
39600	-1.693673	-1.114672	0.3417257	0.3417257
39700	-1.703146	-1.367278	0.3669863	0.3669863
39800	-2.499411	0.05434046	0.2248245	0.2248245
39900	-3.304447	0.4935518	0.1809033	0.1809033
40000	-1.971932	-0.4306909	0.2733276	0.2733276
40100	-2.013846	-0.3785076	0.2681093	0.2681093
40200	-1.797627	-0.7159892	0.3018574	0.3018574
40300	-1.81794	-0.673579	0.2976164	0.2976164
40400	-1.696719	-1.080451	0.3383036	0.3383036
40500	-1.902196	-0.5281783	0.2830763	0.2830763
40600	-1.704465	-1.376075	0.367866	0.367866
40700	-1.73152	-1.506158	0.3808743	0.3808743
40800	-1.719013	-0.9463647	0.324895	0.324895
